scenario	tau	writes	write_rate	writes_per_1k_tokens	writes_per_1k_records	pr_auc
A	1.5	256	0.5	3.272067281883484	500.0	1.0
A	0.75	256	0.5	3.272276405097593	500.0	1.0
A	0.375	382	0.74609375	4.87879639326675	746.09375	1.0
A	0.1875	506	0.98828125	6.469760900140647	988.28125	1.0
A	0.28125	464	0.90625	5.926077294439193	906.25	1.0
A	0.328125	427	0.833984375	5.454150646961898	833.984375	1.0
A	0.351562	407	0.794921875	5.19868691642504	794.921875	1.0
A	0.363281	396	0.7734375	5.057600449564484	773.4375	1.0
A	0.36914	393	0.767578125	5.019221190564375	767.578125	1.0
A	0.37207	388	0.7578125	4.955363414602996	757.8125	1.0
A	0.370605	390	0.76171875	4.980970139722598	761.71875	1.0
A	0.369873	392	0.765625	5.006449635372099	765.625	1.0
A	0.370239	391	0.763671875	4.9947625252293	763.671875	1.0
A	0.370056	391	0.763671875	4.993678080179823	763.671875	1.0
A	0.369965	391	0.763671875	4.9947625252293	763.671875	1.0
A	0.369919	391	0.763671875	4.9947625252293	763.671875	1.0
A	0.369896	392	0.765625	5.00651357633656	765.625	1.0
A	0.369908	392	0.765625	5.00651357633656	765.625	1.0
A	0.369914	392	0.765625	5.006449635372099	765.625	1.0
A	0.369916	392	0.765625	5.006449635372099	765.625	1.0
